Species ID,Name,Age,Sex,Health,Years at Zoo,Favorite Game,Favorite Food,Personality
1,Bagel,17,female,sick,16,video,lean meat,courageous
2,Rye,3,male,sick,3,fake hunting,rodents,courageous
3,Sourdough,20,male,healthy,18,platforms,red meat,independent
4,Ciabatta,20,female,healthy,20,platforms,grain,curious
5,Pita,2,male,healthy,2,puzzles,fruit,curious
6,Brioche,6,female,healthy,6,swings,red meat,needy
7,Challah,29,male,sick,29,platforms,lean meat,needy
8,Focaccia,10,male,sick,9,puzzles,berry,curious
9,Baguette,18,female,sick,18,swim,red meat,courageous
10,Naan,26,male,sick,1,platforms,red meat,curious
21,Timide,18,male,healthy,15,puzzles,red meat,shy
22,Cracker,23,female,healthy,6,swim,red meat,curious
23,Toast,24,female,sick,24,fake hunting,berry,needy
24,PopTart,13,female,sick,10,puzzles,grain,courageous
25,Pretzel,27,female,healthy,25,swings,lean meat,independent
26,TopTart,30,male,healthy,8,fake hunting,red meat,shy
38,Scone,26,male,healthy,10,fake hunting,grain,shy
5,Pancake,12,female,sick,10,puzzles,parsley,independent
5,Fluffer,30,male,sick,16,fake hunting,parsley,independent
