Species ID,Name,Age,Sex,Health,Years at Zoo,Favorite Game,Favorite Food,Personality
1,Apple,24,female,healthy,24,puzzles,rodents,calm
2,Pear,9,female,healthy,1,fake hunting,rodents,independent
3,Blueberry,0,male,healthy,0,handfeeding,rodents,shy
4,Pineapple,24,male,healthy,16,swings,rodents,calm
5,Rasberry,18,male,sick,5,platforms,berry,needy
6,Strawberry,14,male,sick,4,swim,lean meat,independent
7,Orange,18,male,healthy,11,swings,fruit,shy
8,Kiwi,23,male,sick,21,fake hunting,insects,calm
9,Banana,17,female,healthy,3,swings,grain,needy
10,Grape,3,male,sick,3,fake hunting,rodents,courageous
58,Bob,5,male,sick,4,swings,vegetables,independent
63,Penelope,2,female,sick,1,platforms,lean meat,shy
57,Lime,10,male,sick,4,platforms,rodents,curious
63,Alice,1,female,healthy,1,swings,vegetables,calm
21,Sharikhan,18,male,healthy,15,puzzles,red meat,independent
46,Wigglesworth,28,male,healthy,27,platforms,rodents,needy
